Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
216,132,132,133,Andrew Nembhard,PG/SG,25.6,IND,65,28.9,3.8,0.458,0.794,0.8,0.291,10.0,3.3,5.0,1.2,0.2,1.7,0.0,-3.05
217,179,180,180,Davion Mitchell,PG,26.9,MIA,74,27.4,3.0,0.468,0.684,1.1,0.400,7.9,2.3,4.9,1.0,0.2,1.7,0.0,-3.08
218,281,281,281,Bogdan Bogdanovic,SG/SF,33.0,LAC,54,25.0,3.9,0.427,0.877,1.9,0.363,10.8,2.9,2.7,0.8,0.2,1.4,0.0,-3.10
219,340,339,340,Georges Niang,PF,32.2,ATL,79,21.5,3.6,0.461,0.795,2.1,0.405,9.9,3.4,1.4,0.4,0.2,1.0,0.0,-3.15
220,312,310,310,Ben Simmons,PG/PF,29.1,LAC,51,22.0,2.3,0.522,0.723,0.0,0.000,5.0,4.7,5.6,0.8,0.5,2.0,0.0,-3.23
221,165,167,167,Miles McBride,PG,24.9,NY,64,24.9,3.5,0.406,0.810,1.8,0.369,9.5,2.5,2.9,1.0,0.3,0.6,0.0,-3.25
222,300,299,299,Brandon Boston Jr.,SG/SF,23.7,NO,42,23.6,4.0,0.436,0.792,1.2,0.351,10.7,3.2,2.2,1.3,0.2,1.2,0.0,-3.25
223,282,282,282,Brandon Clarke,PF/C,28.9,MEM,64,18.9,3.7,0.621,0.699,0.0,0.074,8.3,5.1,1.0,0.8,0.6,0.6,0.0,-3.28
224,172,173,173,Peyton Watson,SF/PF,22.9,DEN,68,24.4,3.0,0.477,0.697,0.7,0.355,8.1,3.4,1.4,0.7,1.4,0.8,0.0,-3.28
225,609,609,609,Justin Edwards,SF,21.7,PHI,44,26.3,3.9,0.455,0.695,1.6,0.363,10.1,3.4,1.6,1.0,0.4,1.1,0.0,-3.33
226,360,360,360,Luke Kornet,C,30.1,BOS,73,18.6,2.6,0.667,0.692,0.0,0.000,6.0,5.3,1.6,0.5,1.0,0.4,0.0,-3.33
227,211,212,212,Lonzo Ball,PG,27.8,CHI,35,22.2,2.5,0.366,0.818,1.9,0.343,7.6,3.4,3.3,1.3,0.5,1.2,0.0,-3.33
228,226,227,227,Nickeil Alexander-Walker,SG,27.0,MIN,82,25.3,3.3,0.438,0.778,1.7,0.381,9.4,3.2,2.7,0.6,0.4,1.2,0.0,-3.37
229,390,390,390,Derrick Jones Jr.,SF,28.5,LAC,77,24.3,4.0,0.527,0.706,1.0,0.356,10.1,3.4,0.8,1.0,0.4,0.9,0.0,-3.38
230,350,349,349,Kentavious Caldwell-Pope,SG/SF,32.5,ORL,77,29.6,3.1,0.439,0.862,1.5,0.343,8.7,2.2,1.8,1.3,0.4,0.8,0.0,-3.38
231,182,183,182,Max Christie,SG,22.5,DAL,78,27.3,3.2,0.427,0.856,1.5,0.365,9.6,3.3,1.9,0.8,0.4,1.1,0.0,-3.40
233,224,225,225,Tre Jones,PG,25.6,CHI,46,19.7,2.8,0.538,0.822,0.4,0.394,7.2,2.5,4.2,0.8,0.2,0.8,0.0,-3.45
235,119,117,73,Zaccharie Risacher,SF/PF,20.4,ATL,75,24.6,4.8,0.458,0.709,1.6,0.355,12.6,3.6,1.2,0.7,0.5,1.2,0.0,-3.62
236,431,431,431,Amir Coffey,SG,28.2,LAC,72,24.3,3.3,0.470,0.894,1.4,0.408,9.7,2.2,1.1,0.6,0.1,0.6,0.0,-3.66
237,259,259,260,Keldon Johnson,SF/PF,25.8,SA,77,23.9,4.8,0.482,0.774,1.1,0.317,12.7,4.8,1.6,0.6,0.3,1.0,0.0,-3.69
238,243,244,244,Ziaire Williams,SF,23.9,BKN,63,24.5,3.4,0.412,0.821,1.6,0.340,10.0,4.6,1.3,1.0,0.4,1.1,0.0,-3.70
239,251,251,252,Corey Kispert,SG/SF,26.5,WAS,61,26.3,4.2,0.451,0.854,2.0,0.364,11.6,3.0,1.7,0.4,0.2,1.0,0.0,-3.75
240,240,241,241,Quinten Post,C,25.4,GS,42,16.3,2.9,0.449,0.781,1.7,0.408,8.1,3.5,1.3,0.4,0.4,0.8,0.0,-3.86
241,233,234,234,Jalen Smith,PF/C,25.4,CHI,64,15.0,3.0,0.466,0.813,1.1,0.326,8.2,5.6,1.0,0.3,0.7,0.6,0.1,-3.86
242,229,230,230,Moses Moody,SG/SF,23.2,GS,74,22.3,3.3,0.432,0.794,1.7,0.374,9.8,2.6,1.3,0.8,0.4,0.7,0.0,-3.87
243,196,197,199,Wendell Carter Jr.,C,26.3,ORL,68,25.9,3.3,0.460,0.739,0.5,0.233,9.1,7.2,2.0,0.8,0.6,1.1,0.1,-3.91
244,594,594,594,Daeqwon Plowden,SG,27.0,ATL,6,11.9,2.7,0.640,1.000,1.5,0.530,7.2,1.8,0.3,0.0,0.0,0.7,0.0,-3.97
246,214,215,215,Adem Bona,C,22.4,PHI,58,15.6,2.3,0.704,0.674,0.0,0.000,5.8,4.2,0.5,0.4,1.2,1.1,0.1,-3.97
247,344,343,344,AJ Green,SF,25.9,MIL,73,22.7,2.5,0.429,0.811,2.1,0.427,7.4,2.4,1.5,0.5,0.1,0.5,0.0,-3.99
248,212,213,213,Jaxson Hayes,C,25.2,LAL,56,19.5,2.9,0.724,0.623,0.0,0.000,6.8,4.8,1.0,0.6,0.9,0.8,0.0,-3.99
249,213,214,214,Kevin Porter Jr.,SG,25.3,MIL,75,19.8,3.9,0.450,0.769,0.7,0.309,10.3,3.7,3.4,1.1,0.2,1.8,0.0,-4.02
250,193,195,196,Cole Anthony,PG,25.3,ORL,67,18.4,3.4,0.423,0.822,1.2,0.354,9.4,3.0,2.9,0.7,0.5,1.5,0.0,-4.02
251,270,270,271,Tristan Vukcevic,PF/C,22.4,WAS,35,14.6,3.4,0.496,0.780,1.1,0.375,9.4,3.7,1.1,0.3,0.7,1.2,0.0,-4.04
252,91,93,71,Matas Buzelis,SF/PF,20.8,CHI,80,18.9,3.2,0.454,0.815,1.2,0.360,8.6,3.5,1.0,0.4,0.9,0.9,0.0,-4.08
253,476,476,476,Haywood Highsmith,SF,28.7,MIA,74,24.6,2.4,0.458,0.724,1.2,0.381,6.5,3.4,1.5,0.9,0.5,0.7,0.0,-4.11
254,347,346,346,Dante Exum,SG,30.1,DAL,20,18.6,3.2,0.478,0.742,1.2,0.434,8.7,1.7,2.8,0.6,0.2,1.1,0.0,-4.22
255,279,279,279,Kevin Huerter,SG/SF,27.0,CHI,69,24.3,3.7,0.425,0.718,1.9,0.337,9.9,3.0,2.3,1.0,0.3,1.0,0.0,-4.25
256,324,323,324,Zach Collins,PF/C,27.7,CHI,64,15.2,2.4,0.506,0.885,0.5,0.301,6.4,4.5,1.7,0.5,0.5,0.9,0.1,-4.27
257,163,165,165,Anthony Black,PG/SG,21.6,ORL,78,24.2,3.4,0.422,0.759,0.8,0.316,9.4,3.0,3.1,1.1,0.6,1.8,0.0,-4.27
258,215,216,216,Jay Huff,C,28.0,MEM,64,11.7,2.5,0.514,0.784,1.3,0.406,6.9,2.0,0.6,0.3,0.9,0.5,0.0,-4.30
259,550,550,550,Brandon Williams,PG,25.7,DAL,33,14.8,3.0,0.521,0.835,0.7,0.401,8.3,1.7,2.3,0.7,0.2,1.2,0.0,-4.30
260,296,295,295,Precious Achiuwa,PF/C,25.9,NY,57,20.5,2.9,0.502,0.595,0.2,0.286,6.6,5.6,1.0,0.8,0.7,0.8,0.1,-4.34
261,70,76,63,Stephon Castle,PG/SG,20.8,SA,81,26.7,5.2,0.428,0.722,1.2,0.285,14.7,3.7,4.1,0.9,0.3,2.2,0.1,-4.36
262,239,240,240,Jake LaRavia,PF,23.8,SAC,66,20.4,2.4,0.474,0.678,0.9,0.423,6.9,3.9,2.4,0.9,0.3,1.3,0.0,-4.41
263,367,367,367,Andre Drummond,C,32.0,PHI,40,18.8,2.9,0.501,0.622,0.1,0.160,7.3,7.8,0.9,1.0,0.5,1.4,0.1,-4.56
264,303,302,302,Tim Hardaway Jr.,SG/SF,33.4,DET,77,28.0,3.6,0.405,0.856,2.2,0.367,11.0,2.4,1.6,0.5,0.1,0.6,0.0,-4.57
265,122,119,122,Kyshawn George,SG/SF,21.7,WAS,68,26.5,3.0,0.372,0.752,1.7,0.322,8.7,4.2,2.5,1.0,0.7,1.4,0.0,-4.59
266,,,,Jordan Goodwin,PG/SG,26.8,LAL,29,18.7,2.2,0.437,0.816,0.9,0.385,5.6,3.9,1.4,1.0,0.4,0.9,0.0,-4.59
267,316,314,314,Jared Butler,SG,25.0,PHI,60,17.4,3.4,0.446,0.822,1.0,0.355,9.0,1.8,3.7,0.7,0.2,1.3,0.0,-4.60
268,137,136,137,Isaiah Collier,PG,20.9,UTA,71,25.9,3.3,0.422,0.682,0.6,0.248,8.7,3.3,6.3,0.9,0.2,2.9,0.2,-4.68
269,,,,Elfrid Payton,PG,31.5,CHA,24,21.3,1.7,0.329,0.586,0.0,0.160,3.5,3.3,6.9,1.0,0.5,2.5,0.1,-4.69
270,370,370,370,Alec Burks,SG,34.1,MIA,49,17.6,2.4,0.425,0.780,1.8,0.427,7.3,2.5,1.1,0.6,0.1,0.6,0.0,-4.69
271,273,273,273,Josh Green,SG/SF,24.7,CHA,68,27.8,2.7,0.428,0.679,1.4,0.392,7.4,2.5,1.6,1.1,0.2,1.0,0.0,-4.77
272,447,447,447,Collin Gillespie,PG,26.1,PHO,33,14.0,2.1,0.430,0.866,1.2,0.432,5.9,2.4,2.4,0.6,0.2,0.5,0.0,-4.77
273,134,134,134,Jaylen Wells,SG,22.0,MEM,79,25.9,3.6,0.425,0.825,1.8,0.354,10.4,3.4,1.7,0.6,0.1,0.9,0.0,-4.81
274,444,444,444,Bismack Biyombo,C,33.0,SA,28,18.8,2.4,0.587,0.404,0.0,0.000,5.1,5.6,1.1,0.6,0.8,0.9,0.1,-4.82
275,266,266,267,Marcus Smart,PG/SG,31.4,WAS,34,20.0,3.0,0.393,0.761,1.4,0.347,9.0,2.1,3.2,1.1,0.3,1.6,0.0,-4.89
276,228,229,229,Patrick Williams,PF,24.0,CHI,63,25.0,3.3,0.397,0.720,1.5,0.352,9.0,3.8,2.0,0.8,0.5,1.4,0.0,-4.91
277,541,541,541,Ryan Rollins,SG,23.1,MIL,56,14.6,2.4,0.488,0.800,0.9,0.411,6.2,1.9,1.9,0.8,0.3,0.9,0.0,-4.92
279,150,152,154,Isaiah Jackson,PF/C,23.6,IND,5,16.8,2.8,0.609,0.500,0.0,0.000,7.0,5.6,1.0,0.6,1.6,1.0,0.0,-4.96
280,,,,Jared Rhoden,SG,26.0,TOR,14,16.2,3.0,0.483,0.877,0.9,0.308,8.4,3.0,1.1,0.7,0.1,0.6,0.1,-4.96
281,331,330,331,Trendon Watford,PF,24.8,BKN,43,21.2,3.8,0.468,0.761,0.7,0.327,10.5,3.7,2.7,0.6,0.3,1.9,0.0,-4.98
282,421,421,421,Nicolas Batum,PF,36.7,LAC,78,17.5,1.3,0.436,0.815,1.1,0.435,4.0,2.8,1.1,0.7,0.5,0.4,0.0,-5.03
283,200,201,192,Jaime Jaquez Jr.,SG/SF,24.5,MIA,66,20.7,3.2,0.461,0.753,0.6,0.311,8.6,4.4,2.5,0.9,0.2,1.5,0.0,-5.06
284,404,404,404,Sam Merrill,SG,29.3,CLE,71,19.7,2.4,0.405,0.951,1.9,0.373,7.2,2.2,1.5,0.7,0.2,0.5,0.0,-5.11
285,201,202,203,Moussa Diabate,PF/C,23.6,CHA,71,17.5,2.4,0.596,0.595,0.0,0.000,5.7,6.2,0.8,0.6,0.6,0.9,0.1,-5.13
286,241,242,242,Mouhamed Gueye,PF,22.8,ATL,33,16.1,2.2,0.421,0.764,0.6,0.261,6.0,4.2,0.8,0.8,1.0,0.5,0.1,-5.17
287,563,563,563,Garrison Mathews,SG/SF,28.8,ATL,47,17.6,2.2,0.397,0.819,1.8,0.390,7.5,1.9,1.3,0.6,0.3,0.7,0.0,-5.20
288,411,411,411,Gary Payton II,SG,32.7,GS,62,15.0,2.8,0.574,0.721,0.5,0.327,6.5,3.0,1.3,0.8,0.3,0.6,0.0,-5.21
289,335,334,335,Terance Mann,SG/SF,28.8,ATL,67,21.1,3.1,0.497,0.693,0.9,0.370,7.7,3.0,1.8,0.7,0.2,0.7,0.0,-5.21
290,357,357,357,Tosan Evbuomwan,SF,24.5,BKN,28,23.7,3.4,0.427,0.751,0.9,0.313,9.5,4.3,2.0,0.9,0.4,1.4,0.0,-5.23
291,427,427,427,Josh Okogie,SG/SF,27.0,CHA,40,15.6,2.4,0.443,0.742,0.8,0.348,7.1,2.8,0.9,1.2,0.5,0.8,0.0,-5.24
292,187,187,187,Kyle Kuzma,SF/PF,30.1,MIL,65,29.8,5.7,0.436,0.633,1.5,0.307,14.8,5.7,2.3,0.6,0.3,2.2,0.1,-5.25
293,271,271,194,Trayce Jackson-Davis,PF/C,25.5,GS,62,15.6,2.8,0.577,0.576,0.0,0.000,6.6,5.0,1.7,0.4,0.6,0.7,0.1,-5.27
294,365,365,365,Jeremiah Robinson-Earl,PF/C,24.8,NO,66,18.8,2.4,0.454,0.843,0.9,0.343,6.3,4.8,1.3,0.6,0.1,0.8,0.1,-5.29
295,395,395,395,Kyle Anderson,SF/PF,31.9,MIA,61,16.4,2.3,0.469,0.738,0.4,0.357,5.9,3.4,2.4,0.7,0.5,0.6,0.0,-5.29
296,341,340,341,Keon Johnson,SG,23.4,BKN,79,24.4,3.8,0.389,0.767,1.6,0.313,10.6,3.8,2.2,1.0,0.4,1.5,0.0,-5.32
297,501,501,501,Orlando Robinson,C,25.1,TOR,44,17.5,2.6,0.445,0.774,0.4,0.331,6.9,5.0,1.8,0.4,0.4,1.1,0.1,-5.37
298,349,348,348,Eric Gordon,SG/SF,36.6,PHI,39,19.7,2.2,0.426,0.748,1.4,0.410,6.8,1.2,1.7,0.7,0.3,0.7,0.0,-5.41
299,657,657,657,Moses Brown,C,25.8,DAL,13,9.1,2.6,0.695,0.729,0.0,0.000,5.8,3.4,0.2,0.5,0.3,0.8,0.1,-5.41
301,423,423,423,Cody Martin,SG,29.9,PHO,53,22.1,2.6,0.419,0.704,0.8,0.284,6.8,4.2,2.0,1.1,0.6,1.0,0.0,-5.47
302,,,,Tyrese Martin,SF,26.4,BKN,60,21.9,3.2,0.406,0.794,1.7,0.351,8.7,3.7,2.0,0.6,0.2,1.2,0.0,-5.47
303,265,265,266,Bruce Brown,SG/SF,29.0,NO,41,22.5,3.2,0.420,0.811,0.7,0.333,8.3,4.0,2.0,0.8,0.2,1.0,0.0,-5.48
304,253,253,254,Thomas Bryant,C,28.0,IND,66,14.6,2.5,0.508,0.856,0.7,0.326,6.5,3.8,0.8,0.4,0.6,0.5,0.0,-5.48
307,155,157,142,Jarace Walker,PF,21.9,IND,75,15.8,2.3,0.473,0.663,1.0,0.405,6.1,3.1,1.5,0.7,0.3,1.0,0.0,-5.55
308,280,280,280,Jonathan Mogbo,PF,23.8,TOR,63,20.4,2.5,0.439,0.731,0.3,0.243,6.2,4.9,2.3,0.9,0.5,1.1,0.0,-5.56
