Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
98,82,85,88,Mikal Bridges,SG/SF,29.0,NY,82,37.0,7.2,0.500,0.813,2.0,0.354,17.6,3.2,3.7,0.9,0.5,1.6,0.0,1.99
99,125,122,125,Malik Monk,,27.5,SAC,65,31.6,6.3,0.439,0.865,2.1,0.325,17.2,3.8,5.6,1.0,0.6,2.4,0.1,1.97
100,164,166,166,Tobias Harris,SF/PF,33.1,DET,73,31.6,5.3,0.477,0.863,1.3,0.345,13.7,5.9,2.2,1.0,0.8,1.2,0.1,1.81
101,333,332,333,Chris Paul,PG,40.3,SA,82,28.0,3.0,0.428,0.929,1.7,0.378,8.8,3.6,7.4,1.3,0.3,1.6,0.1,1.76
102,184,185,184,De'Andre Hunter,SF/PF,27.7,CLE,64,27.2,5.6,0.469,0.846,2.5,0.404,17.0,4.0,1.4,0.8,0.2,1.3,0.0,1.68
103,92,94,96,Anfernee Simons,PG/SG,26.2,POR,70,32.7,6.8,0.426,0.903,3.1,0.362,19.3,2.7,4.8,0.8,0.1,2.0,0.0,1.60
104,156,158,159,CJ McCollum,PG/SG,33.9,NO,56,32.7,7.9,0.444,0.715,3.1,0.372,21.1,3.8,4.1,0.8,0.4,1.9,0.0,1.59
105,60,66,61,Lauri Markkanen,SF/PF,28.2,UTA,47,31.4,6.3,0.423,0.876,2.9,0.346,19.0,5.9,1.5,0.7,0.4,1.4,0.1,1.54
106,80,83,67,Devin Vassell,SG/SF,25.0,SA,64,31.0,6.2,0.443,0.787,2.5,0.369,16.3,4.0,2.9,1.3,0.5,1.4,0.0,1.51
107,112,112,113,Jaden McDaniels,SF,24.9,MIN,82,31.9,4.9,0.477,0.814,1.2,0.330,12.2,5.7,2.0,1.3,0.9,1.2,0.1,1.18
108,379,379,379,Malik Beasley,SG,28.7,DET,82,27.8,5.6,0.430,0.678,3.9,0.416,16.3,2.6,1.7,0.9,0.1,1.0,0.0,1.10
109,301,300,300,Jonas Valanciunas,C,33.3,SAC,81,18.8,4.3,0.550,0.877,0.1,0.213,10.4,7.7,2.0,0.5,0.6,1.5,0.3,1.10
110,81,84,87,Toumani Camara,SF/PF,25.3,POR,78,32.7,4.2,0.459,0.722,1.7,0.374,11.3,5.8,2.2,1.5,0.6,1.4,0.1,1.09
